region,medicine,predicted_demand,current_stock,stock_gap,production_action,risk_flag
central,amlodipine,1484.6033333333332,2121,-636.3966666666668,Reduce Production,Wastage Risk
central,amlodipine,1195.81,2121,-925.19,Reduce Production,Wastage Risk
central,amlodipine,1338.7066666666667,2121,-782.2933333333333,Reduce Production,Wastage Risk
central,amlodipine,1321.8033333333333,2121,-799.1966666666667,Reduce Production,Wastage Risk
central,amlodipine,937.6766666666666,2121,-1183.3233333333333,Reduce Production,Wastage Risk
central,amlodipine,1176.5233333333333,2121,-944.4766666666667,Reduce Production,Wastage Risk
central,amlodipine,1319.86,2121,-801.1400000000001,Reduce Production,Wastage Risk
central,amlodipine,1429.9166666666667,2121,-691.0833333333333,Reduce Production,Wastage Risk
central,amlodipine,1055.8433333333332,2121,-1065.1566666666668,Reduce Production,Wastage Risk
central,amlodipine,1222.4266666666667,2121,-898.5733333333333,Reduce Production,Wastage Risk
central,amlodipine,1300.4933333333333,2121,-820.5066666666667,Reduce Production,Wastage Risk
central,amlodipine,1159.6133333333332,2121,-961.3866666666668,Reduce Production,Wastage Risk
central,amlodipine,1176.9533333333334,2121,-944.0466666666666,Reduce Production,Wastage Risk
central,amlodipine,1219.8233333333333,2121,-901.1766666666667,Reduce Production,Wastage Risk
central,amlodipine,1421.96,2121,-699.04,Reduce Production,Wastage Risk
central,amlodipine,1126.6133333333332,2121,-994.3866666666668,Reduce Production,Wastage Risk
central,amlodipine,1190.74,2121,-930.26,Reduce Production,Wastage Risk
central,amlodipine,1158.22,2121,-962.78,Reduce Production,Wastage Risk
central,amlodipine,1284.0033333333333,2121,-836.9966666666667,Reduce Production,Wastage Risk
central,amlodipine,1208.66,2121,-912.3399999999999,Reduce Production,Wastage Risk
central,amlodipine,1187.3633333333332,2121,-933.6366666666668,Reduce Production,Wastage Risk
central,amlodipine,1055.9166666666667,2121,-1065.0833333333333,Reduce Production,Wastage Risk
central,amlodipine,1275.6933333333334,2121,-845.3066666666666,Reduce Production,Wastage Risk
central,amlodipine,1081.7666666666667,2121,-1039.2333333333333,Reduce Production,Wastage Risk
central,amlodipine,1218.87,2121,-902.1300000000001,Reduce Production,Wastage Risk
central,amlodipine,1220.8966666666668,2121,-900.1033333333332,Reduce Production,Wastage Risk
central,amlodipine,1297.5933333333332,2121,-823.4066666666668,Reduce Production,Wastage Risk
central,amlodipine,1043.2733333333333,2121,-1077.7266666666667,Reduce Production,Wastage Risk
central,amlodipine,1113.39,2121,-1007.6099999999999,Reduce Production,Wastage Risk
central,amlodipine,1189.66,2121,-931.3399999999999,Reduce Production,Wastage Risk
central,amlodipine,1234.6866666666667,2121,-886.3133333333333,Reduce Production,Wastage Risk
