region,medicine,prev_week_sales,health_index,disease_trend_score,season_factor,next_week_sales
central,amlodipine,327.0,82.52639812280015,1.0,1.2,1572.0
central,amlodipine,1638.0,89.33124755572935,-1.0,1.2,1224.0
central,amlodipine,1572.0,61.798983183418066,-1.0,1.2,1418.0
central,amlodipine,1224.0,80.33633163863902,1.0,1.2,1376.0
central,amlodipine,1418.0,71.65428236214314,-1.0,1.2,737.0
central,amlodipine,1376.0,73.1716855690262,1.0,1.2,1169.0
central,amlodipine,737.0,67.33672272193976,-1.0,1.2,1363.0
central,amlodipine,1169.0,73.18732890105592,-1.0,1.2,1495.0
central,amlodipine,1363.0,77.47360187719984,1.0,1.2,996.0
central,amlodipine,1495.0,89.8474775127102,1.0,1.0,1225.0
central,amlodipine,996.0,60.750879937426674,-1.0,1.0,1353.0
central,amlodipine,1225.0,87.28197105983574,-1.0,1.0,1093.0
central,amlodipine,1353.0,86.60930778255768,1.0,1.0,1144.0
central,amlodipine,1093.0,73.62534219788813,-1.0,1.0,1215.0
central,amlodipine,1144.0,62.51857645678529,1.0,1.0,1568.0
central,amlodipine,1215.0,76.94172858818928,0.0,1.0,1078.0
central,amlodipine,1568.0,72.31130230739147,-1.0,1.0,1163.0
central,amlodipine,1078.0,63.3007430582714,1.0,1.0,1121.0
central,amlodipine,1163.0,87.03167774736016,-1.0,1.0,1342.0
central,amlodipine,1121.0,78.92843175596401,-1.0,1.0,1144.0
central,amlodipine,1342.0,67.60265936644505,1.0,1.0,1162.0
central,amlodipine,1144.0,64.50527962456003,1.0,1.0,928.0
central,amlodipine,1162.0,67.08642940946422,-1.0,1.3,1345.0
central,amlodipine,928.0,78.55299178725068,-1.0,1.3,993.0
central,amlodipine,1345.0,68.38482596793116,-1.0,1.3,1179.0
central,amlodipine,993.0,59.29605005866249,1.0,1.3,1624.0
central,amlodipine,1179.0,63.957763003519744,-1.0,1.3,1315.0
central,amlodipine,1624.0,74.95502542041454,1.0,1.3,894.0
central,amlodipine,1315.0,80.50840829096599,1.0,1.3,1058.0
central,amlodipine,894.0,75.67461869378178,-1.0,1.3,1190.0
central,amlodipine,1058.0,74.47008212749316,1.0,1.3,1498.0
central,amlodipine,1190.0,72.3269456394212,-1.0,1.3,1359.0
central,amlodipine,1498.0,82.60461478294874,1.0,1.3,1300.0
central,amlodipine,1359.0,53.46108721157605,-1.0,1.3,1277.0
central,amlodipine,1300.0,84.12201798983183,-1.0,1.3,1186.0
central,amlodipine,1277.0,62.75322643723113,0.0,1.0,1181.0
central,amlodipine,1186.0,78.16190848650761,1.0,1.0,1014.0
central,amlodipine,1181.0,63.56667970277668,-1.0,1.0,1265.0
central,amlodipine,1014.0,84.32538130621822,1.0,1.0,1357.0
central,amlodipine,1265.0,61.798983183418066,0.0,1.0,1300.0
central,amlodipine,1357.0,59.217833398513875,-1.0,1.0,1100.0
central,amlodipine,1300.0,64.36448963629252,1.0,1.0,1170.0
central,amlodipine,1100.0,51.27102072741494,-1.0,1.0,1399.0
central,amlodipine,1170.0,74.11028549080953,1.0,1.0,952.0
central,amlodipine,1399.0,71.45091904575675,-1.0,1.0,1284.0
central,amlodipine,952.0,74.50136879155261,-1.0,1.0,1586.0
central,amlodipine,1284.0,74.87680876026592,-1.0,1.0,1136.0
central,amlodipine,1586.0,66.69534610872115,1.0,1.0,1128.0
central,amlodipine,1136.0,51.74032068830661,-1.0,1.2,772.0
