date,region,medicine,units_sold
2022-01-01,north,paracetamol,111
2022-01-01,north,metformin,252
2022-01-01,north,amlodipine,116
2022-01-01,north,salbutamol,79
2022-01-01,north,ors,156
2022-01-01,south,paracetamol,215
2022-01-01,south,metformin,183
2022-01-01,south,amlodipine,160
2022-01-01,south,salbutamol,276
2022-01-01,south,ors,199
2022-01-01,east,paracetamol,170
2022-01-01,east,metformin,60
2022-01-01,east,amlodipine,121
2022-01-01,east,salbutamol,140
2022-01-01,east,ors,78
2022-01-01,west,paracetamol,168
2022-01-01,west,metformin,168
2022-01-01,west,amlodipine,57
2022-01-01,west,salbutamol,264
2022-01-01,west,ors,270
2022-01-01,central,paracetamol,129
2022-01-01,central,metformin,212
2022-01-01,central,amlodipine,121
2022-01-01,central,salbutamol,249
2022-01-01,central,ors,222
2022-01-02,north,paracetamol,82
2022-01-02,north,metformin,283
2022-01-02,north,amlodipine,54
2022-01-02,north,salbutamol,239
2022-01-02,north,ors,214
2022-01-02,south,paracetamol,194
2022-01-02,south,metformin,71
2022-01-02,south,amlodipine,127
2022-01-02,south,salbutamol,279
2022-01-02,south,ors,209
2022-01-02,east,paracetamol,63
2022-01-02,east,metformin,285
2022-01-02,east,amlodipine,197
2022-01-02,east,salbutamol,199
2022-01-02,east,ors,79
2022-01-02,west,paracetamol,231
2022-01-02,west,metformin,210
2022-01-02,west,amlodipine,54
2022-01-02,west,salbutamol,67
2022-01-02,west,ors,112
2022-01-02,central,paracetamol,223
2022-01-02,central,metformin,184
2022-01-02,central,amlodipine,206
2022-01-02,central,salbutamol,106
2022-01-02,central,ors,224
2022-01-03,north,paracetamol,58
2022-01-03,north,metformin,288
2022-01-03,north,amlodipine,236
2022-01-03,north,salbutamol,161
2022-01-03,north,ors,154
2022-01-03,south,paracetamol,172
2022-01-03,south,metformin,120
2022-01-03,south,amlodipine,248
2022-01-03,south,salbutamol,162
2022-01-03,south,ors,220
2022-01-03,east,paracetamol,108
2022-01-03,east,metformin,55
2022-01-03,east,amlodipine,159
2022-01-03,east,salbutamol,160
2022-01-03,east,ors,102
2022-01-03,west,paracetamol,113
